feature_name,abs_corr,selected
median_header_bytes_delta_len,0.6309942,True
mode_header_bytes_delta_len,0.6309467,True
mode_bwd_payload_bytes_delta_len,0.62727404,True
active_cov,0.6148863,True
active_median,0.61480695,True
active_max,0.61480516,True
active_mean,0.6148041,True
active_mode,0.61480385,True
active_min,0.61480385,True
fwd_payload_bytes_min,0.61446834,True
payload_bytes_min,0.61446834,True
bwd_payload_bytes_min,0.61446834,True
idle_skewness,0.6143264,True
active_skewness,0.61396307,True
bwd_cwr_flag_counts,0.6122995,True
bwd_cwr_flag_percentage_in_total,0.6122993,True
bwd_cwr_flag_percentage_in_bwd_packets,0.6122993,True
mean_payload_bytes_delta_len,0.6091856,True
active_variance,0.6082287,True
idle_cov,0.60804605,True
idle_variance,0.6080453,True
idle_std,0.6080453,True
active_std,0.60804474,True
cov_payload_bytes_delta_len,0.60691506,True
mode_fwd_payload_bytes_delta_len,0.603134,True
max_fwd_header_bytes_delta_len,0.59021354,True
payload_bytes_mode,0.58933306,True
idle_mean,0.5876344,True
idle_median,0.58762914,True
idle_max,0.587629,True
idle_mode,0.58762866,True
idle_min,0.58762866,True
cov_fwd_payload_bytes_delta_len,0.5827148,True
skewness_per64bytes_mutual_information,0.5825008,True
max_header_bytes_delta_len,0.5818037,True
avg_fwd_bulk_rate,0.5800339,True
fwd_bulk_state_count,0.57988423,True
avg_fwd_packets_per_bulk,0.5798516,True
fwd_bulk_per_packet,0.5797722,True
avg_fwd_bytes_per_bulk,0.57968587,True
fwd_bulk_total_size,0.57966727,True
fwd_bulk_duration,0.5795834,True
mean_fwd_payload_bytes_delta_len,0.5749073,True
fwd_payload_bytes_mode,0.57255447,True
bwd_bulk_state_count,0.5426175,True
avg_bwd_packets_bulk_rate,0.54113895,True
avg_bwd_bytes_per_bulk,0.5409202,True
avg_bwd_bulk_rate,0.5407634,True
bwd_bulk_per_packet,0.5406385,True
bwd_bulk_duration,0.5406283,True
bwd_bulk_total_size,0.54050314,True
bwd_payload_bytes_mode,0.5353314,True
mode_payload_bytes_delta_len,0.51828253,True
mode_fwd_header_bytes_delta_len,0.50611573,True
median_fwd_header_bytes_delta_len,0.5059447,True
max_bwd_header_bytes_delta_len,0.493233,True
mode_fwd_packets_delta_len,0.49089432,True
skewness_fwd_payload_bytes_delta_len,0.48779547,True
bwd_fin_flag_counts,0.4837645,True
mode_bwd_packets_delta_len,0.4823974,True
mode_bwd_header_bytes_delta_len,0.47700182,True
min_header_bytes,0.4764476,True
median_bwd_header_bytes_delta_len,0.47417724,True
median_fwd_payload_bytes_delta_len,0.47030497,True
fwd_fin_flag_counts,0.46970356,True
segment_size_min,0.46732998,True
bwd_rst_flag_counts,0.46585897,True
mode_header_bytes,0.46539995,True
bwd_rst_flag_percentage_in_total,0.46482596,True
fin_flag_counts,0.46414602,True
bwd_rst_flag_percentage_in_bwd_packets,0.46403793,True
median_payload_bytes_delta_len,0.4634185,True
skewness_payload_bytes_delta_len,0.44751585,True
segment_size_mode,0.42990518,True
bwd_ece_flag_counts,0.41251174,True
bwd_ece_flag_percentage_in_bwd_packets,0.41196108,True
bwd_ece_flag_percentage_in_total,0.41157672,True
median_bwd_payload_bytes_delta_len,0.3918165,True
median_header_bytes,0.38041836,True
skewness_fwd_packets_delta_len,0.37822524,True
cov_bwd_payload_bytes_delta_len,0.37578782,True
bwd_fin_flag_percentage_in_bwd_packets,0.37455246,True
mean_bwd_payload_bytes_delta_len,0.37338826,True
bwd_fin_flag_percentage_in_total,0.3726598,True
median_packets_delta_len,0.36539534,True
fwd_fin_flag_percentage_in_fwd_packets,0.36257887,True
fwd_fin_flag_percentage_in_total,0.3608729,True
skewness_fwd_packets_delta_time,0.35919264,True
subflow_bwd_packets,0.35313493,True
subflow_fwd_bytes,0.35218012,True
subflow_bwd_bytes,0.35218012,True
fin_flag_percentage_in_total,0.34652203,True
fwd_rst_flag_percentage_in_total,0.34597808,True
fwd_rst_flag_percentage_in_fwd_packets,0.3459775,True
fwd_rst_flag_counts,0.34543785,True
median_fwd_packets_delta_len,0.33376125,True
min_header_bytes_delta_len,0.32315975,True
subflow_fwd_packets,0.32089898,True
bwd_syn_flag_counts,0.31952626,True
skewness_header_bytes,0.31931388,True
ack_flag_percentage_in_total,0.30592147,True
bwd_ack_flag_percentage_in_bwd_packets,0.3047111,True
payload_bytes_cov,0.29948217,True
skewness_utf8_per4bytes_entropy,0.2985671,True
min_bwd_payload_bytes_delta_len,0.28336686,True
skewness_binary_per64bytes_entropy,0.28097764,True
skewness_hex_per64bytes_entropy,0.27711293,True
skewness_hex_per32bytes_entropy,0.2750127,True
min_fwd_header_bytes_delta_len,0.2717256,True
handshake_state,0.26826558,True
min_bwd_header_bytes_delta_len,0.26810977,True
skewness_utf8_per64bytes_entropy,0.26792946,True
skewness_binary_per4bytes_entropy,0.26549935,True
fwd_payload_bytes_cov,0.26488516,True
min_fwd_payload_bytes_delta_len,0.26453742,True
hex_2_gram_entropy,0.26348537,True
skewness_utf8_per32bytes_entropy,0.25955483,True
skewness_utf8_per8bytes_entropy,0.25944766,True
skewness_packets_delta_len,0.25842303,True
skewness_utf8_per16bytes_entropy,0.2568553,True
skewness_binary_per32bytes_entropy,0.25597873,True
min_payload_bytes_delta_len,0.25431907,True
bin_min_entropy,0.25383765,True
fwd_min_header_bytes,0.25272375,True
skewness_binary_per16bytes_entropy,0.25211036,True
mean_packets_delta_len,0.25088152,True
bwd_payload_bytes_median,0.24913059,True
fwd_ece_flag_counts,0.24797337,True
fwd_cwr_flag_counts,0.24740413,True
fwd_payload_bytes_median,0.24723066,True
cwr_flag_counts,0.24711332,True
ece_flag_counts,0.24708621,True
fwd_ece_flag_percentage_in_fwd_packets,0.24542595,True
fwd_ece_flag_percentage_in_total,0.24529214,True
ece_flag_percentage_in_total,0.24525942,True
fwd_cwr_flag_percentage_in_fwd_packets,0.2450596,True
fwd_cwr_flag_percentage_in_total,0.24493371,True
cwr_flag_percentage_in_total,0.24466003,True
fwd_mode_header_bytes,0.24455106,True
fwd_median_header_bytes,0.24429508,True
fwd_segment_size_min,0.23841065,True
bwd_min_header_bytes,0.23833485,True
bwd_mode_header_bytes,0.23774113,True
