feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
dst_port,protocol_port,0.86676264,0.9372246,0.010840074,0.8123513
src_port,protocol_port,0.709504,0.9362983,0.03126568,0.6643074
packet_IAT_total,packet_count,0.8496065,0.7045745,0.0031917496,0.5986111
packet_IAT_max,packet_count,1.0,0.52646774,0.0013762666,0.52646774
packets_IAT_mean,packet_count,0.8113239,0.6442527,0.0040284945,0.5226976
min_packets_delta_len,packet_length,0.56529677,0.83010983,0.007015629,0.4692584
fwd_cwr_flag_counts,flags,0.46060362,0.90609866,0.03571638,0.41735232
max_packets_delta_len,packet_length,0.55712515,0.7395094,0.008182775,0.4119993
ece_flag_percentage_in_total,flags,0.45335945,0.8954495,0.039719302,0.4059605
median_packets_delta_time,packet_count,0.52875274,0.7353167,0.052987166,0.3888007
min_payload_bytes_delta_len,packet_length,0.45502248,0.8176697,0.0015626556,0.3720581
fwd_cwr_flag_percentage_in_fwd_packets,packet_count,0.4468701,0.80503017,0.07415233,0.3597439
fwd_segment_size_cov,statistical,0.43838367,0.7902075,0.009049127,0.34641406
min_fwd_packets_delta_len,packet_length,0.42658868,0.808881,0.00063009455,0.34505948
fwd_ece_flag_percentage_in_total,flags,0.47174597,0.71787775,0.10715388,0.33865592
min_bwd_packets_delta_len,packet_length,0.39199588,0.86354476,0.006788173,0.33850598
mean_packets_delta_len,packet_length,0.38833818,0.8221456,0.11055096,0.31927052
cwr_flag_counts,flags,0.4486671,0.6755741,0.25689682,0.3031079
fwd_ece_flag_counts,flags,0.4516835,0.66991085,0.1253834,0.30258766
max_bwd_payload_bytes_delta_len,packet_length,0.38450772,0.7620635,0.0035224506,0.2930193
skewness_header_bytes_delta_len,packet_length,0.31244546,0.91056186,0.0017672866,0.28450093
mode_bwd_packets_delta_len,packet_length,0.34829935,0.814395,0.08383198,0.28365326
fwd_cwr_flag_percentage_in_total,flags,0.4580693,0.61386746,0.23343304,0.28119382
skewness_packets_delta_len,packet_length,0.38531262,0.72749764,0.28503823,0.28031403
ece_flag_counts,flags,0.4550519,0.60551167,0.22998382,0.27553922
cov_packets_delta_len,packet_length,0.33470803,0.81381875,0.014637218,0.27239168
payload_bytes_median,byte_count,0.33478695,0.8118704,0.09096713,0.27180362
min_bwd_payload_bytes_delta_len,packet_length,0.36384556,0.74232453,0.0043580583,0.27009147
cwr_flag_percentage_in_total,flags,0.45837426,0.57173294,0.21741496,0.26206768
max_payload_bytes_delta_len,packet_length,0.43394628,0.59891355,0.019193973,0.2598963
ack_flag_percentage_in_total,flags,0.3681887,0.6970019,0.060631428,0.25662822
cov_fwd_packets_delta_len,packet_length,0.3380558,0.7506755,0.016707284,0.2537702
std_header_bytes_delta_len,packet_length,0.3263276,0.770936,0.0036732676,0.2515777
mode_packets_delta_len,packet_length,0.38973293,0.6415349,0.37477347,0.25002727
fwd_payload_bytes_median,byte_count,0.3190638,0.76495737,0.103184365,0.24407022
min_fwd_payload_bytes_delta_len,packet_length,0.39828104,0.5889261,0.00113396,0.23455809
hex_2_gram_entropy,other,0.28560543,0.8193065,0.0027444242,0.23399839
bwd_total_payload_bytes,byte_count,0.364659,0.6354668,0.0017575179,0.2317287
mode_fwd_packets_delta_len,packet_length,0.36610562,0.629702,0.18112369,0.23053743
bwd_payload_bytes_variance,byte_count,0.33720616,0.67513734,0.0015655848,0.22766046
skewness_fwd_packets_delta_len,packet_length,0.29706854,0.76298666,0.08261833,0.22665933
rst_flag_percentage_in_total,flags,0.33138454,0.679647,0.31855583,0.22522452
packet_IAT_std,packet_count,0.31751588,0.7033073,0.01137681,0.22331123
fwd_payload_bytes_cov,byte_count,0.37203074,0.58949935,0.013983389,0.21931188
mode_fwd_payload_bytes_delta_len,packet_length,0.2950303,0.7379584,0.12974058,0.21772008
fwd_packets_IAT_std,packet_count,0.32293102,0.67301196,0.004589711,0.21733645
hex_9_gram_entropy,other,0.29286298,0.705194,0.38955346,0.20652522
mean_header_bytes_delta_len,packet_length,0.347773,0.5907664,0.023219742,0.20545259
hex_6_gram_entropy,other,0.2891773,0.69598687,0.38576987,0.2012636
skewness_bwd_payload_bytes_delta_len,packet_length,0.27323645,0.7210291,0.23092477,0.19701144
fwd_rst_flag_percentage_in_total,flags,0.22620608,0.8611416,0.047741912,0.19479547
skewness_header_bytes,byte_count,0.33403167,0.5825681,0.35737553,0.1945962
bwd_ece_flag_percentage_in_total,flags,0.24295035,0.79824513,0.21360376,0.19393393
hex_4_gram_entropy,other,0.30613467,0.62905186,0.36306658,0.19257459
hex_7gram_entropy,other,0.29335284,0.65318877,0.3692775,0.19161478
median_bwd_payload_bytes_delta_len,packet_length,0.2624911,0.72794807,0.21252483,0.1910799
bwd_syn_flag_percentage_in_total,flags,0.25941786,0.73259467,0.003497263,0.19004814
skewness_bwd_packets_delta_len,packet_length,0.29154924,0.6494658,0.10184849,0.18935126
bwd_payload_bytes_median,byte_count,0.334829,0.56393695,0.29405844,0.18882245
variance_bwd_header_bytes_delta_len,packet_length,0.26436374,0.7125239,0.009447733,0.18836547
fwd_ece_flag_percentage_in_fwd_packets,packet_count,0.46102992,0.3991884,0.1516139,0.18403779
