feature_name,abs_corr,selected
payload_bytes_min,0.9587932,True
bwd_payload_bytes_min,0.9587932,True
fwd_payload_bytes_min,0.9587932,True
active_skewness,0.9540278,True
bwd_cwr_flag_counts,0.9535377,True
bwd_cwr_flag_percentage_in_total,0.9535286,True
bwd_cwr_flag_percentage_in_bwd_packets,0.95352834,True
idle_skewness,0.95328134,True
idle_variance,0.95064247,True
idle_std,0.95064247,True
idle_cov,0.95064217,True
active_variance,0.95063645,True
active_std,0.95063645,True
active_cov,0.949204,True
median_fwd_header_bytes_delta_len,0.94674903,True
mode_fwd_header_bytes_delta_len,0.94440335,True
active_max,0.9104274,True
active_mode,0.9103631,True
active_min,0.9103631,True
active_mean,0.9103602,True
active_median,0.9103574,True
idle_max,0.9069541,True
idle_median,0.9069501,True
idle_mean,0.9069491,True
idle_mode,0.9069446,True
idle_min,0.9069446,True
skewness_per64bytes_mutual_information,0.9067364,True
fwd_bulk_state_count,0.9050469,True
avg_fwd_packets_per_bulk,0.9047852,True
avg_fwd_bulk_rate,0.90476125,True
avg_fwd_bytes_per_bulk,0.9047427,True
fwd_bulk_per_packet,0.90473896,True
fwd_bulk_total_size,0.9047065,True
fwd_bulk_duration,0.9046782,True
median_bwd_header_bytes_delta_len,0.8942889,True
mode_bwd_header_bytes_delta_len,0.89211345,True
max_fwd_header_bytes_delta_len,0.8789169,True
fwd_payload_bytes_mode,0.873261,True
payload_bytes_mode,0.871251,True
max_bwd_header_bytes_delta_len,0.8631958,True
bwd_bulk_state_count,0.8325894,True
bwd_bulk_per_packet,0.8315025,True
avg_bwd_packets_bulk_rate,0.8314694,True
avg_bwd_bulk_rate,0.83134735,True
bwd_bulk_total_size,0.83125603,True
avg_bwd_bytes_per_bulk,0.8311899,True
bwd_bulk_duration,0.8310949,True
cov_fwd_payload_bytes_delta_len,0.8286946,True
bwd_payload_bytes_mode,0.80292445,True
cov_payload_bytes_delta_len,0.80131936,True
mean_fwd_payload_bytes_delta_len,0.78888476,True
mean_payload_bytes_delta_len,0.77946603,True
median_header_bytes_delta_len,0.777748,True
mode_header_bytes_delta_len,0.77489865,True
mode_header_bytes,0.7372894,True
min_header_bytes,0.7152039,True
mode_payload_bytes_delta_len,0.7058155,True
segment_size_min,0.69951767,True
bwd_rst_flag_counts,0.6945616,True
bwd_rst_flag_percentage_in_bwd_packets,0.68541664,True
bwd_rst_flag_percentage_in_total,0.67986953,True
segment_size_mode,0.6717262,True
median_header_bytes,0.66476357,True
max_header_bytes_delta_len,0.65729976,True
bwd_fin_flag_counts,0.62925065,True
fwd_fin_flag_counts,0.6115114,True
bwd_ece_flag_counts,0.60929626,True
bwd_ece_flag_percentage_in_bwd_packets,0.59332424,True
subflow_fwd_bytes,0.590771,True
subflow_bwd_bytes,0.590771,True
bwd_ece_flag_percentage_in_total,0.5852854,True
bwd_fin_flag_percentage_in_bwd_packets,0.584607,True
subflow_bwd_packets,0.5842089,True
bwd_fin_flag_percentage_in_total,0.58379203,True
median_bwd_payload_bytes_delta_len,0.5778878,True
median_fwd_payload_bytes_delta_len,0.57302326,True
fin_flag_counts,0.5697288,True
fwd_rst_flag_counts,0.56683064,True
fwd_fin_flag_percentage_in_fwd_packets,0.56169754,True
fwd_fin_flag_percentage_in_total,0.5599966,True
bwd_ack_flag_percentage_in_bwd_packets,0.55222,True
median_payload_bytes_delta_len,0.5468783,True
bwd_median_header_bytes,0.5404348,True
bwd_min_header_bytes,0.5347122,True
bwd_mode_header_bytes,0.53342015,True
fin_flag_percentage_in_total,0.5313371,True
bwd_segment_size_min,0.5157893,True
fwd_rst_flag_percentage_in_fwd_packets,0.51368016,True
subflow_fwd_packets,0.51286805,True
fwd_rst_flag_percentage_in_total,0.5110683,True
ece_flag_counts,0.50923926,True
cov_bwd_payload_bytes_delta_len,0.50597507,True
cwr_flag_counts,0.50064194,True
fwd_cwr_flag_counts,0.5005863,True
fwd_ece_flag_counts,0.49990314,True
mean_bwd_payload_bytes_delta_len,0.4974693,True
median_bwd_packets_delta_len,0.4956539,True
rst_flag_counts,0.47392672,True
mode_bwd_payload_bytes_delta_len,0.4715858,True
median_binary_per4bytes_entropy,0.46970204,True
mode_binary_per4bytes_entropy,0.46970204,True
bwd_syn_flag_counts,0.46706027,True
mode_hex_per4bytes_entropy,0.46075642,True
median_hex_per4bytes_entropy,0.46075642,True
mode_utf8_per4bytes_entropy,0.45135546,True
median_utf8_per4bytes_entropy,0.45135546,True
ece_flag_percentage_in_total,0.4488609,True
min_fwd_header_bytes_delta_len,0.44312263,True
