feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
src_port,protocol_port,1.0,0.9597968,0.0011342822,0.9597968
fwd_packets_IAT_mode,packet_count,0.70651203,0.8978884,0.0006308459,0.63436896
fwd_init_win_bytes,byte_count,0.700863,0.8069059,0.00094226055,0.56553054
bwd_init_win_bytes,byte_count,0.54927343,0.8479925,0.00067041523,0.46577975
max_bwd_packets_delta_len,packet_length,0.48751575,0.91905946,0.00094626786,0.44805595
max_fwd_packets_delta_len,packet_length,0.48521283,0.856033,0.0022551855,0.41535822
min_fwd_payload_bytes_delta_len,packet_length,0.461144,0.8824146,0.00082080706,0.4069202
min_bwd_packets_delta_len,packet_length,0.44886035,0.8927233,9.936905e-05,0.4007081
mode_fwd_packets_delta_len,packet_length,0.4165949,0.9199557,0.003223968,0.38324884
max_fwd_payload_bytes_delta_len,packet_length,0.47866455,0.79823065,0.0094598755,0.3820847
min_fwd_packets_delta_len,packet_length,0.46389997,0.8107515,0.0023505401,0.3761076
mode_packets_delta_len,packet_length,0.454174,0.7863185,0.25751337,0.35712543
max_bwd_payload_bytes_delta_len,packet_length,0.47718608,0.72712946,0.006559627,0.34697607
fwd_segment_size_std,statistical,0.4069919,0.8400492,0.00033232296,0.34189323
min_bwd_payload_bytes_delta_len,packet_length,0.4220306,0.80903286,0.009644177,0.34143662
variance_fwd_payload_bytes_delta_len,packet_length,0.36653465,0.86173725,0.0012942491,0.31585658
std_fwd_packets_delta_len,packet_length,0.3617918,0.867823,0.0019801862,0.31397125
mean_bwd_packets_delta_len,packet_length,0.36182365,0.8655086,0.023892086,0.3131615
payload_bytes_median,byte_count,0.3646503,0.8541692,0.000539363,0.31147307
skewness_payload_bytes_delta_len,packet_length,0.36804917,0.8368181,0.019658497,0.30799022
fwd_payload_bytes_variance,byte_count,0.41143107,0.7319837,0.0042496487,0.30116084
std_bwd_packets_delta_len,packet_length,0.3354891,0.8763208,0.0026581034,0.29399607
min_bwd_packets_delta_time,packet_count,0.34848154,0.8413247,0.0034880436,0.29318613
median_packets_delta_len,packet_length,0.36413452,0.7929404,0.001753862,0.28873697
skewness_packets_delta_len,packet_length,0.3570714,0.7981973,0.022666954,0.28501344
std_bwd_payload_bytes_delta_len,packet_length,0.3296569,0.8546213,0.0012513747,0.2817318
cov_bwd_packets_delta_len,packet_length,0.36376536,0.7695618,0.19185801,0.27993992
bwd_payload_bytes_cov,byte_count,0.33799314,0.82784826,2.586831e-05,0.27980703
mean_binary_per64bytes_entropy,byte_count,0.34369913,0.8095576,0.00024245797,0.27824426
skewness_bwd_packets_delta_len,packet_length,0.3365206,0.8239366,0.04006212,0.27727163
fwd_cwr_flag_percentage_in_total,flags,0.33444762,0.8170193,0.0055674375,0.27325016
mode_bwd_packets_delta_len,packet_length,0.36057982,0.7502903,0.0033210071,0.27053952
skewness_fwd_packets_delta_len,packet_length,0.34276423,0.7872207,0.0060343035,0.2698311
variance_bwd_packets_delta_len,packet_length,0.34282607,0.78083414,0.0012179731,0.2676903
bwd_psh_flag_percentage_in_bwd_packets,packet_count,0.29776308,0.89304394,0.0013943117,0.2659155
bwd_payload_bytes_median,byte_count,0.35024062,0.7450607,0.00758243,0.2609505
bwd_segment_size_skewness,statistical,0.3692148,0.7009483,0.015880117,0.25880048
fwd_cwr_flag_percentage_in_fwd_packets,packet_count,0.32372686,0.78955907,0.02193694,0.25560147
fwd_segment_size_variance,statistical,0.4217137,0.59973323,0.0017624841,0.25291574
variance_header_bytes_delta_len,packet_length,0.3179357,0.78998333,0.002386255,0.2511639
bwd_std_header_bytes,byte_count,0.33062047,0.7568547,0.0003284483,0.25023165
mean_binary_per16bytes_entropy,byte_count,0.30636704,0.81482106,0.0006972726,0.24963431
variance_fwd_header_bytes_delta_len,packet_length,0.28844446,0.855512,0.0003902647,0.2467677
fwd_psh_flag_percentage_in_fwd_packets,packet_count,0.26540413,0.9128357,0.0023422674,0.24227038
std_packets_delta_time,packet_count,0.27799293,0.8685269,0.00023169206,0.24144433
variance_packets_delta_time,packet_count,0.29785323,0.8088647,0.0057213292,0.24092297
mode_bwd_packets_delta_time,packet_count,0.36556432,0.6566765,0.0075312005,0.24005748
variance_bwd_payload_bytes_delta_len,packet_length,0.31875518,0.74779713,0.0029396045,0.2383642
binary_4_gram_entropy,other,0.3147184,0.75636846,0.044133548,0.23804307
mean_header_bytes,byte_count,0.44930828,0.52555096,0.0040384093,0.2361344
max_bwd_packets_delta_time,packet_count,0.2808013,0.83877045,0.0011407689,0.23552783
fwd_total_payload_bytes,byte_count,0.4182182,0.562869,0.0046414435,0.23540206
fwd_cov_header_bytes,byte_count,0.2802287,0.83698267,0.00016212015,0.23454657
mean_utf8_per64bytes_entropy,byte_count,0.29075626,0.797033,0.0007788073,0.23174234
median_fwd_packets_delta_time,packet_count,0.29188624,0.79265004,0.0018355214,0.23136364
std_fwd_payload_bytes_delta_len,packet_length,0.35570562,0.64743894,0.0054041776,0.23029767
fwd_mode_header_bytes,byte_count,0.26659188,0.8629176,0.026295653,0.23004682
median_fwd_packets_delta_len,packet_length,0.26758358,0.8593512,0.035117947,0.22994827
fwd_ece_flag_percentage_in_fwd_packets,packet_count,0.32747966,0.69624645,0.027391,0.22800656
bwd_payload_bytes_variance,byte_count,0.34978735,0.64533323,0.0027988832,0.2257294
psh_flag_percentage_in_total,flags,0.28523332,0.7891234,0.003196454,0.22508429
mean_fwd_header_bytes_delta_len,packet_length,0.28280857,0.7954402,0.0065664817,0.2249573
variance_bwd_header_bytes_delta_len,packet_length,0.30544624,0.72930026,0.0014001237,0.22276202
variance_fwd_packets_delta_len,packet_length,0.35244763,0.63015354,0.001502423,0.22209612
utf8_3_gram_entropy,other,0.40991303,0.54113877,0.0050593484,0.22181983
binary_9_gram_entropy,other,0.31944564,0.6895135,0.00020160916,0.22026208
mean_per32bytes_bientropy,byte_count,0.310707,0.693474,0.0028325508,0.21546723
mode_fwd_payload_bytes_delta_len,packet_length,0.32887802,0.65497094,0.022697719,0.21540554
std_bwd_header_bytes_delta_len,packet_length,0.2967175,0.7206055,0.0027621817,0.21381626
binary_10_gram_entropy,other,0.33201388,0.64316744,0.021495443,0.21354051
binary_5_gram_entropy,other,0.2889246,0.73551965,0.05301784,0.21250972
