feature_name,mi_score,mi_normalized,group_name
Src Port,0.3366631269454956,0.7012010216712952,protocol_port
Dst Port,0.37396517395973206,0.7788936495780945,protocol_port
Protocol,0.1257413923740387,0.2618938386440277,protocol_port
Flow Duration,0.40417900681495667,0.8418229222297668,duration
Total Fwd Packet,0.11371024698019028,0.23683539032936096,packet_count
Total Bwd packets,0.12172705680131912,0.2535327672958374,packet_count
Total Length of Fwd Packet,0.4064682722091675,0.8465909957885742,packet_length
Total Length of Bwd Packet,0.2945326268672943,0.6134517192840576,packet_length
Fwd Packet Length Max,0.3730117380619049,0.7769078016281128,packet_length
Fwd Packet Length Min,0.3072129487991333,0.6398622989654541,packet_length
Fwd Packet Length Mean,0.35742250084877014,0.7444385886192322,packet_length
Fwd Packet Length Std,0.10304058343172073,0.21461264789104462,packet_length
Bwd Packet Length Max,0.3250420093536377,0.6769965887069702,packet_length
Bwd Packet Length Min,0.26464754343032837,0.5512071847915649,packet_length
Bwd Packet Length Mean,0.3086639940738678,0.6428844928741455,packet_length
Bwd Packet Length Std,0.09814625233411789,0.20441874861717224,packet_length
Flow Bytes/s,0.3780849575996399,0.7874742746353149,byte_count
Flow Packets/s,0.38607195019721985,0.8041095733642578,packet_count
Flow IAT Mean,0.382680743932724,0.797046422958374,iat
Flow IAT Std,0.15889009833335876,0.33093586564064026,iat
Flow IAT Max,0.40849563479423523,0.8508135676383972,iat
Flow IAT Min,0.3911956250667572,0.8147811889648438,iat
Fwd IAT Total,0.26752206683158875,0.5571942329406738,iat
Fwd IAT Mean,0.2604193389415741,0.5424006581306458,iat
Fwd IAT Std,0.10176634788513184,0.21195866167545319,iat
Fwd IAT Max,0.2757968306541443,0.5744288563728333,iat
Fwd IAT Min,0.26479846239089966,0.5515214800834656,iat
Bwd IAT Total,0.11181249469518661,0.23288275301456451,iat
Bwd IAT Mean,0.10745404660701752,0.2238049954175949,iat
Bwd IAT Std,0.06720606237649918,0.1399766057729721,iat
Bwd IAT Max,0.11675120145082474,0.24316908419132233,iat
Bwd IAT Min,0.08669841289520264,0.18057522177696228,iat
Fwd PSH Flags,0.008049746043980122,0.016765989363193512,flags
Fwd Header Length,0.35107049345970154,0.7312086224555969,packet_length
Bwd Header Length,0.2971102297306061,0.6188203692436218,packet_length
Fwd Packets/s,0.38340964913368225,0.7985645532608032,packet_count
Bwd Packets/s,0.2998182475566864,0.6244606375694275,packet_count
Packet Length Min,0.29972532391548157,0.6242671012878418,packet_length
Packet Length Max,0.4750348627567291,0.9894012808799744,packet_length
Packet Length Mean,0.4801235496997833,1.0,packet_length
Packet Length Std,0.34876176714897156,0.7264000177383423,packet_length
Packet Length Variance,0.3474910855293274,0.7237534523010254,packet_length
FIN Flag Count,0.09620577841997147,0.20037712156772614,flags
SYN Flag Count,0.05164800584316254,0.10757232457399368,flags
RST Flag Count,0.001899777096696198,0.003956850618124008,flags
PSH Flag Count,0.06411566585302353,0.13353992998600006,flags
ACK Flag Count,0.16074010729789734,0.3347890377044678,flags
Down/Up Ratio,0.03584505245089531,0.07465797662734985,other
Average Packet Size,0.4715856611728668,0.9822173118591309,packet_count
Fwd Segment Size Avg,0.35900622606277466,0.7477371692657471,statistical
Bwd Segment Size Avg,0.3076583445072174,0.6407899260520935,statistical
Bwd Packet/Bulk Avg,0.05148547887802124,0.10723381489515305,packet_count
Bwd Bulk Rate Avg,0.05424026399850845,0.1129714697599411,flow_rate
Subflow Fwd Packets,0.0445777103304863,0.0928463339805603,packet_count
Subflow Fwd Bytes,0.25004157423973083,0.520785927772522,byte_count
Subflow Bwd Bytes,0.23843660950660706,0.49661511182785034,byte_count
FWD Init Win Bytes,0.36128321290016174,0.7524796724319458,byte_count
Bwd Init Win Bytes,0.28016507625579834,0.5835270285606384,byte_count
Fwd Act Data Pkts,0.08869504183530807,0.1847337931394577,packet_count
Fwd Seg Size Min,0.26312530040740967,0.5480366349220276,statistical
Idle Mean,0.3371011018753052,0.7021132707595825,active_idle
Idle Std,0.14009788632392883,0.2917954921722412,active_idle
Idle Max,0.3469085693359375,0.7225401997566223,active_idle
Idle Min,0.31971460580825806,0.665900707244873,active_idle
