feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
Average Packet Size,packet_count,0.9822173,0.87946755,0.011817992,0.86382824
Flow Duration,duration,0.8418229,0.9960052,0.0018902462,0.83845997
Dst Port,protocol_port,0.77889365,0.9946181,0.0012069822,0.7747017
Src Port,protocol_port,0.701201,0.9971888,0.0068674614,0.69922984
FWD Init Win Bytes,byte_count,0.7524797,0.9241297,0.012741396,0.69538885
Idle Mean,active_idle,0.7021133,0.98438245,0.0074277697,0.691148
Flow Packets/s,packet_count,0.8041096,0.8571433,0.072509654,0.6892371
Fwd Packets/s,packet_count,0.79856455,0.8428275,0.05090906,0.6730522
Fwd Segment Size Avg,statistical,0.74773717,0.8641633,0.021204466,0.646167
Bwd Segment Size Avg,statistical,0.6407899,0.9715891,0.0065357434,0.6225845
Bwd Init Win Bytes,byte_count,0.583527,0.99273026,0.0016577578,0.57928497
Fwd Packet Length Max,packet_length,0.7769078,0.7104177,0.002401413,0.55192906
Fwd Seg Size Min,statistical,0.54803663,0.98353434,0.0140283555,0.53901285
Bwd Packets/s,packet_count,0.62446064,0.85261667,0.04925172,0.5324255
Subflow Bwd Bytes,byte_count,0.4966151,0.99750906,0.00037454948,0.49537808
Idle Min,active_idle,0.6659007,0.68185335,0.051518798,0.45404664
Idle Max,active_idle,0.7225402,0.44591725,0.024460727,0.32219315
Packet Length Max,packet_length,0.9894013,0.31372708,0.008811177,0.31040198
ACK Flag Count,flags,0.33478904,0.90625495,0.0692432,0.3034042
Idle Std,active_idle,0.2917955,0.9237428,0.0077647786,0.26954398
Total Length of Fwd Packet,packet_length,0.846591,0.30927175,0.0013993013,0.2618267
Protocol,protocol_port,0.26189384,0.99716747,0.00033666525,0.26115203
Subflow Fwd Bytes,byte_count,0.5207859,0.46194744,0.12192396,0.24057573
Bwd Packet Length Mean,packet_length,0.6428845,0.37104377,0.051870853,0.23853828
Total Fwd Packet,packet_count,0.23683539,0.94826365,0.02104322,0.22458239
Total Length of Bwd Packet,packet_length,0.6134517,0.3555518,0.021311613,0.21811387
Total Bwd packets,packet_count,0.25353277,0.8571798,0.07406237,0.21732317
Packet Length Mean,packet_length,1.0,0.20891733,0.005965304,0.20891733
Flow IAT Min,iat,0.8147812,0.23972541,0.19340438,0.19532375
Fwd Act Data Pkts,packet_count,0.1847338,0.9256468,0.021662472,0.17099825
Flow Bytes/s,byte_count,0.7874743,0.21258745,0.027090136,0.16740714
FIN Flag Count,flags,0.20037712,0.77743846,0.13856988,0.15578088
Bwd Packet Length Min,packet_length,0.5512072,0.27326447,0.41625473,0.15062533
PSH Flag Count,flags,0.13353993,0.9472126,0.0044224253,0.1264907
Fwd Packet Length Std,packet_length,0.21461265,0.5841884,0.046493683,0.12537421
Flow IAT Max,iat,0.85081357,0.13171664,0.04724625,0.112066306
Fwd Header Length,packet_length,0.7312086,0.15306494,0.08443146,0.1119224
Packet Length Variance,packet_length,0.72375345,0.11421214,0.039049294,0.08266143
SYN Flag Count,flags,0.107572325,0.75047094,0.42141712,0.0807299
Fwd Packet Length Min,packet_length,0.6398623,0.12323985,0.014092732,0.078856535
Packet Length Std,packet_length,0.7264,0.10553589,0.03550784,0.076661274
Bwd Packet Length Std,packet_length,0.20441875,0.36888725,0.062041845,0.07540747
Fwd Packet Length Mean,packet_length,0.7444386,0.09421945,0.044048615,0.0701406
Bwd Packet/Bulk Avg,packet_count,0.107233815,0.56672883,0.31359443,0.060772493
Bwd Packet Length Max,packet_length,0.6769966,0.0738176,0.0059532253,0.049974266
Packet Length Min,packet_length,0.6242671,0.06371429,0.009209559,0.039774735
Bwd IAT Min,iat,0.18057522,0.2196928,0.3318983,0.039671075
Bwd Header Length,packet_length,0.61882037,0.048996042,0.0076301997,0.030319748
Flow IAT Mean,iat,0.7970464,0.03408152,0.0051414585,0.027164552
Bwd IAT Max,iat,0.24316908,0.09639039,0.017202443,0.023439163
Bwd IAT Mean,iat,0.223805,0.10291219,0.017887779,0.023032261
Fwd IAT Max,iat,0.57442886,0.033727065,0.007088749,0.019373799
Fwd IAT Min,iat,0.5515215,0.029203722,0.013659975,0.01610648
Fwd IAT Std,iat,0.21195866,0.070319414,0.023214176,0.014904809
Fwd PSH Flags,flags,0.01676599,0.77282995,0.24936302,0.012957259
Bwd IAT Std,iat,0.1399766,0.082428955,0.00814497,0.011538126
Subflow Fwd Packets,packet_count,0.092846334,0.113331705,0.0730336,0.010522434
Flow IAT Std,iat,0.33093587,0.026576113,0.00014914919,0.0087949885
Bwd Bulk Rate Avg,flow_rate,0.11297147,0.062362302,0.03450851,0.007045161
Bwd IAT Total,iat,0.23288275,0.0217074,0.0017380093,0.005055279
Fwd IAT Total,iat,0.55719423,0.008788716,0.001057506,0.0048970217
Fwd IAT Mean,iat,0.54240066,0.00880241,0.0015888736,0.004774433
RST Flag Count,flags,0.0039568506,0.7237502,0.106258415,0.0028637713
Down/Up Ratio,other,0.07465798,0.033070777,0.024766658,0.0024689974
