feature_name,mi_score,mi_normalized,group_name
Src Port,0.678889811038971,0.7532321810722351,protocol_port
Dst Port,0.90130215883255,1.0,protocol_port
Protocol,0.11893261969089508,0.13195642828941345,protocol_port
Flow Duration,0.6802345514297485,0.7547242045402527,duration
Total Fwd Packet,0.24002738296985626,0.26631179451942444,packet_count
Total Bwd packets,0.2549659311771393,0.28288617730140686,packet_count
Total Length of Fwd Packet,0.6661777496337891,0.7391281127929688,packet_length
Total Length of Bwd Packet,0.4878149628639221,0.5412335395812988,packet_length
Fwd Packet Length Max,0.6591654419898987,0.731347918510437,packet_length
Fwd Packet Length Min,0.4665209650993347,0.5176077485084534,packet_length
Fwd Packet Length Mean,0.620017409324646,0.6879129409790039,packet_length
Fwd Packet Length Std,0.22937916219234467,0.2544975280761719,packet_length
Bwd Packet Length Max,0.4653555154800415,0.516314685344696,packet_length
Bwd Packet Length Min,0.37202566862106323,0.41276463866233826,packet_length
Bwd Packet Length Mean,0.4981197416782379,0.5526667833328247,packet_length
Bwd Packet Length Std,0.2320094257593155,0.2574158012866974,packet_length
Flow Bytes/s,0.5989402532577515,0.6645277142524719,byte_count
Flow Packets/s,0.6459760665893555,0.7167142033576965,packet_count
Flow IAT Mean,0.6438720226287842,0.7143797874450684,iat
Flow IAT Std,0.3263522684574127,0.36208975315093994,iat
Flow IAT Max,0.7700983881950378,0.8544286489486694,iat
Flow IAT Min,0.5676822662353516,0.6298468112945557,iat
Fwd IAT Total,0.5992488861083984,0.6648701429367065,iat
Fwd IAT Mean,0.5702852010726929,0.6327347755432129,iat
Fwd IAT Std,0.272283673286438,0.3021003305912018,iat
Fwd IAT Max,0.6848230361938477,0.7598151564598083,iat
Fwd IAT Min,0.4825400710105896,0.535381019115448,iat
Bwd IAT Total,0.2408161163330078,0.26718688011169434,iat
Bwd IAT Mean,0.23672260344028473,0.26264509558677673,iat
Bwd IAT Std,0.14504583179950714,0.16092920303344727,iat
Bwd IAT Max,0.31663888692855835,0.35131269693374634,iat
Bwd IAT Min,0.186198890209198,0.2065887600183487,iat
Fwd PSH Flags,0.016548754647374153,0.018360938876867294,flags
Fwd Header Length,0.5087655186653137,0.56447833776474,packet_length
Bwd Header Length,0.4717501103878021,0.5234094858169556,packet_length
Fwd Packets/s,0.6587780117988586,0.7309180498123169,packet_count
Bwd Packets/s,0.5370786190032959,0.5958918333053589,packet_count
Packet Length Min,0.45661699771881104,0.5066192150115967,packet_length
Packet Length Max,0.742328941822052,0.8236182928085327,packet_length
Packet Length Mean,0.7867295742034912,0.8728810548782349,packet_length
Packet Length Std,0.5777392983436584,0.6410050988197327,packet_length
Packet Length Variance,0.5756864547729492,0.6387274861335754,packet_length
FIN Flag Count,0.1008286252617836,0.1118699461221695,flags
SYN Flag Count,0.042954832315444946,0.047658637166023254,flags
RST Flag Count,0.020520146936178207,0.02276722341775894,flags
PSH Flag Count,0.08993592113256454,0.09978442639112473,flags
ACK Flag Count,0.2243518829345703,0.24891972541809082,flags
Down/Up Ratio,0.09825019538402557,0.10900916159152985,other
Average Packet Size,0.7857844233512878,0.8718323707580566,packet_count
Fwd Segment Size Avg,0.621954619884491,0.6900622844696045,statistical
Bwd Segment Size Avg,0.49561259150505066,0.5498850345611572,statistical
Bwd Packet/Bulk Avg,0.1040620282292366,0.1154574304819107,packet_count
Bwd Bulk Rate Avg,0.1344350129365921,0.14915643632411957,flow_rate
Subflow Fwd Packets,0.11627055704593658,0.12900285422801971,packet_count
Subflow Fwd Bytes,0.42047104239463806,0.46651506423950195,byte_count
Subflow Bwd Bytes,0.36441120505332947,0.40431636571884155,byte_count
FWD Init Win Bytes,0.36480236053466797,0.40475034713745117,byte_count
Bwd Init Win Bytes,0.3381437659263611,0.3751724660396576,byte_count
Fwd Act Data Pkts,0.1580212414264679,0.17532548308372498,packet_count
Fwd Seg Size Min,0.21223953366279602,0.23548099398612976,statistical
Idle Mean,0.7765488028526306,0.8615854382514954,active_idle
Idle Std,0.3490794897079468,0.38730573654174805,active_idle
Idle Max,0.7790052890777588,0.8643109202384949,active_idle
Idle Min,0.7398223280906677,0.8208371996879578,active_idle
