feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
Dst Port,protocol_port,1.0,0.9980505,5.3464868e-05,0.9980505
Idle Max,active_idle,0.8643109,0.96312803,0.003683364,0.83244205
Packet Length Mean,packet_length,0.87288105,0.9490448,0.016800778,0.82840323
Src Port,protocol_port,0.7532322,0.9818509,0.0019949477,0.73956174
Fwd Packet Length Max,packet_length,0.7313479,0.9974609,0.0003019677,0.72949094
Total Length of Fwd Packet,packet_length,0.7391281,0.9572203,0.008238986,0.70750844
Packet Length Max,packet_length,0.8236183,0.84776765,0.018375738,0.69823694
Flow Duration,duration,0.7547242,0.91688085,0.027194653,0.69199216
Flow Packets/s,packet_count,0.7167142,0.9405303,0.019919261,0.6740914
Packet Length Std,packet_length,0.6410051,0.9766854,0.0007138423,0.6260603
Idle Mean,active_idle,0.86158544,0.6812843,0.019574922,0.58698463
Idle Min,active_idle,0.8208372,0.70090425,0.0050208783,0.5753283
Fwd Packets/s,packet_count,0.73091805,0.73029685,0.0048733163,0.53378713
Average Packet Size,packet_count,0.8718324,0.60778856,0.09179486,0.52988976
Bwd Packet Length Max,packet_length,0.5163147,0.9535274,0.00477174,0.49232018
Bwd Packet Length Mean,packet_length,0.5526668,0.8877653,0.00551304,0.49063838
Packet Length Min,packet_length,0.5066192,0.96203905,0.013751143,0.48738748
Fwd Header Length,packet_length,0.56447834,0.8341156,0.058019,0.47084022
Bwd Header Length,packet_length,0.5234095,0.8669904,0.024817156,0.453791
Subflow Fwd Bytes,byte_count,0.46651506,0.92673576,0.013902539,0.43233618
Fwd Packet Length Min,packet_length,0.51760775,0.8098799,0.06311056,0.41920012
Total Length of Bwd Packet,packet_length,0.54123354,0.6912575,0.060961045,0.37413174
Bwd Packets/s,packet_count,0.59589183,0.61846125,0.19091645,0.368536
Packet Length Variance,packet_length,0.6387275,0.57452494,0.20439884,0.36696488
Flow Bytes/s,byte_count,0.6645277,0.5369849,0.086908214,0.35684136
Bwd Packet Length Min,packet_length,0.41276464,0.72827214,0.4176935,0.300605
Subflow Bwd Bytes,byte_count,0.40431637,0.6854858,0.06563057,0.2771531
Fwd Packet Length Std,packet_length,0.25449753,0.9556091,0.016003152,0.24320015
FWD Init Win Bytes,byte_count,0.40475035,0.5743414,0.23747033,0.2324649
Total Fwd Packet,packet_count,0.2663118,0.7995439,0.0317765,0.21292798
Idle Std,active_idle,0.38730574,0.47154042,0.085243724,0.18263032
Fwd Act Data Pkts,packet_count,0.17532548,0.8779422,0.050208252,0.15392564
Total Bwd packets,packet_count,0.28288618,0.53116727,0.049957894,0.15025988
Bwd Bulk Rate Avg,flow_rate,0.14915644,0.9894708,0.005700217,0.14758593
Bwd Segment Size Avg,statistical,0.54988503,0.26406246,0.021578327,0.145204
Bwd Packet Length Std,packet_length,0.2574158,0.5505549,0.012613309,0.14172152
Bwd Init Win Bytes,byte_count,0.37517247,0.35317996,0.1259572,0.13250339
ACK Flag Count,flags,0.24891973,0.5130496,0.0976502,0.12770817
Fwd Segment Size Avg,statistical,0.6900623,0.17948894,0.07724557,0.12385855
Fwd Packet Length Mean,packet_length,0.68791294,0.14191644,0.017756568,0.09762616
Subflow Fwd Packets,packet_count,0.12900285,0.75155246,0.018008852,0.096952416
Fwd IAT Min,iat,0.535381,0.16928719,0.34829703,0.09063315
Down/Up Ratio,other,0.10900916,0.7125616,0.021529581,0.077675745
Protocol,protocol_port,0.13195643,0.49326375,0.054657172,0.06508932
Bwd Packet/Bulk Avg,packet_count,0.11545743,0.43359676,0.2365033,0.050061967
Flow IAT Min,iat,0.6298468,0.06969086,0.23886602,0.043894567
Bwd IAT Min,iat,0.20658876,0.17879432,0.34993747,0.036936898
Bwd IAT Total,iat,0.26718688,0.1083019,0.029062806,0.028936846
Flow IAT Std,iat,0.36208975,0.07034828,0.0011639408,0.025472391
Fwd Seg Size Min,statistical,0.235481,0.09581922,0.10907296,0.022563605
FIN Flag Count,flags,0.111869946,0.13601646,0.083799064,0.015216154
SYN Flag Count,flags,0.047658637,0.28303853,0.15949866,0.013489231
Flow IAT Mean,iat,0.7143798,0.017994536,0.004995229,0.012854933
PSH Flag Count,flags,0.09978443,0.10401497,0.026128517,0.010379074
Flow IAT Max,iat,0.85442865,0.008127085,0.0004353615,0.006944014
Bwd IAT Max,iat,0.3513127,0.014747247,0.0026515294,0.0051808953
Fwd PSH Flags,flags,0.018360939,0.19148572,0.062046878,0.0035158575
Fwd IAT Max,iat,0.75981516,0.004479944,0.0012214693,0.0034039293
Bwd IAT Std,iat,0.1609292,0.019916039,0.0021523868,0.0032050724
Fwd IAT Std,iat,0.30210033,0.008746286,0.00049096305,0.002642256
RST Flag Count,flags,0.022767223,0.10029142,0.015082587,0.0022833573
Fwd IAT Total,iat,0.66487014,0.0029575808,0.0003138088,0.0019664073
Fwd IAT Mean,iat,0.6327348,0.0026899425,0.00044795783,0.0017020202
Bwd IAT Mean,iat,0.2626451,0.005929822,0.0019350095,0.0015574388
