,precision,recall,f1-score,support
AUDIO-STREAMING,0.1241234221598878,0.831766917293233,0.21601171588967538,1064.0
Audio-Streaming,0.8263895696500343,0.607304949211152,0.7001079644547795,13881.0
Browsing,0.8825750179001497,0.8339124819336388,0.8575539568345324,32519.0
Chat,0.757919621749409,0.3938091143594153,0.5183089483469404,8141.0
Email,0.35608180839612485,0.38456172983027204,0.36977420076011625,4301.0
File-Transfer,0.6632940786200033,0.5148043254376931,0.5796912372254838,7768.0
File-transfer,0.03614457831325301,0.8135593220338984,0.0692141312184571,59.0
P2P,0.9802419233205635,0.9567777646920268,0.968367727035685,33964.0
VOIP,0.34560530679933665,0.8349358974358975,0.48885761201032135,2496.0
Video-Streaming,0.48001961265015936,0.2948795180722892,0.3653325869950555,6640.0
Video-streaming,0.04912381499569089,0.868020304568528,0.0929853181076672,197.0
accuracy,0.7389804557326849,0.7389804557326849,0.7389804557326849,0.7389804557326849
macro avg,0.500138068595874,0.666757484078913,0.4751095817162467,111030.0
weighted avg,0.8152080115732823,0.7389804557326849,0.7629097177250188,111030.0
