feature_name,mi_score,mi_normalized,group_name
Source Port,0.3974030315876007,1.0,protocol_port
Destination Port,0.2933632433414459,0.738200843334198,protocol_port
Protocol,0.15079770982265472,0.37945786118507385,protocol_port
Flow Duration,0.16596165299415588,0.41761547327041626,duration
Flow Bytes/s,0.19952844083309174,0.5020807981491089,byte_count
Flow Packets/s,0.15670859813690186,0.3943316638469696,packet_count
Flow IAT Mean,0.1843968778848648,0.4640046954154968,iat
Flow IAT Std,0.18555574119091034,0.46692079305648804,iat
Flow IAT Max,0.15904338657855988,0.4002067744731903,iat
Flow IAT Min,0.18048757314682007,0.45416757464408875,iat
Fwd IAT Mean,0.20609477162361145,0.5186039209365845,iat
Fwd IAT Std,0.20264646410942078,0.5099267959594727,iat
Fwd IAT Max,0.2000415027141571,0.5033718347549438,iat
Fwd IAT Min,0.10172869265079498,0.2559836804866791,iat
Bwd IAT Mean,0.23029670119285583,0.579504132270813,iat
Bwd IAT Std,0.21657513082027435,0.5449760556221008,iat
Bwd IAT Max,0.2237284928560257,0.5629763007164001,iat
Bwd IAT Min,0.13582462072372437,0.34178054332733154,iat
Active Mean,0.0030656566377729177,0.007714225444942713,active_idle
Active Max,0.0015380342956632376,0.0038702127058058977,active_idle
Active Min,0.004404947627335787,0.011084333062171936,active_idle
Idle Mean,0.0013715067179873586,0.0034511731937527657,active_idle
Idle Max,0.0009291297174058855,0.0023380036000162363,active_idle
Idle Min,0.002947375411167741,0.007416590116918087,active_idle
