feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
Source Port,protocol_port,1.0,0.99871,0.00013821115,0.99871
Destination Port,protocol_port,0.73820084,0.9925826,0.0042844154,0.7327253
Bwd IAT Max,iat,0.5629763,0.97386867,0.0010472311,0.548265
Bwd IAT Std,iat,0.54497606,0.9861988,0.0050577293,0.5374547
Flow IAT Mean,iat,0.4640047,0.9345588,0.030980246,0.43363968
Flow IAT Std,iat,0.4669208,0.8965293,0.043611407,0.4186082
Flow Duration,duration,0.41761547,0.9917955,0.00402018,0.41418913
Flow Packets/s,packet_count,0.39433166,0.99083114,0.0039564143,0.39071608
Fwd IAT Mean,iat,0.5186039,0.7514652,0.18564667,0.3897128
Flow IAT Max,iat,0.40020677,0.9724715,0.017140402,0.38918966
Protocol,protocol_port,0.37945786,0.99142903,0.0035483257,0.37620553
Flow IAT Min,iat,0.45416757,0.8155343,0.30273706,0.37038922
Fwd IAT Std,iat,0.5099268,0.72520226,0.008199585,0.36980006
Fwd IAT Max,iat,0.50337183,0.72838736,0.0027733315,0.3666497
Bwd IAT Min,iat,0.34178054,0.9846869,0.007206073,0.33654684
Bwd IAT Mean,iat,0.57950413,0.5248677,0.16983242,0.304163
Flow Bytes/s,byte_count,0.5020808,0.38840964,0.096290484,0.19501303
Fwd IAT Min,iat,0.25598368,0.7350719,0.09886727,0.18816641
Active Min,active_idle,0.011084333,0.9676075,0.17155236,0.010725284
Active Mean,active_idle,0.0077142254,0.99714154,0.0005261011,0.0076921745
Idle Min,active_idle,0.00741659,0.9570364,0.19872631,0.0070979465
Active Max,active_idle,0.0038702127,0.99591947,0.0007479648,0.0038544203
Idle Mean,active_idle,0.0034511732,0.9972663,0.0005563144,0.0034417387
Idle Max,active_idle,0.0023380036,0.9988345,0.00025053418,0.0023352786
