feature_name,abs_corr,selected
Active Max,0.8797162,True
Active Min,0.8797162,True
Active Mean,0.8797162,True
Idle Mean,0.87951636,True
Idle Min,0.87951636,True
Idle Max,0.87951636,True
Destination Port,0.5365134,True
Source Port,0.41151395,True
Flow IAT Max,0.4031809,True
Fwd IAT Max,0.3956686,True
Bwd IAT Max,0.38334042,True
Fwd IAT Min,0.34108818,True
Bwd IAT Min,0.3137445,True
Flow IAT Min,0.29706085,True
Flow Duration,0.29267865,True
Flow IAT Std,0.25432372,True
Fwd IAT Std,0.24775293,True
Flow Bytes/s,0.24364801,True
Fwd IAT Mean,0.23459493,True
Flow Packets/s,0.21640149,True
Flow IAT Mean,0.21582551,True
Bwd IAT Std,0.19687453,True
Bwd IAT Mean,0.17993912,True
