feature_name,mi_score,mi_normalized,group_name
Source Port,1.4565150737762451,1.0,protocol_port
Destination Port,0.8074761629104614,0.5543891787528992,protocol_port
Flow Duration,0.371917724609375,0.25534766912460327,duration
Flow Bytes/s,0.8504488468170166,0.5838929414749146,byte_count
Flow Packets/s,0.7760161757469177,0.5327896475791931,packet_count
Flow IAT Mean,0.7727381587028503,0.5305390954017639,iat
Flow IAT Std,0.5547432899475098,0.3808702826499939,iat
Flow IAT Max,0.644126832485199,0.44223836064338684,iat
Flow IAT Min,0.5262855887413025,0.3613320589065552,iat
Fwd IAT Mean,0.7869888544082642,0.5403231978416443,iat
Fwd IAT Std,0.530647337436676,0.36432671546936035,iat
Fwd IAT Max,0.6453626155853271,0.44308680295944214,iat
Fwd IAT Min,0.601016640663147,0.41264018416404724,iat
Bwd IAT Mean,0.700558602809906,0.4809827208518982,iat
Bwd IAT Std,0.4423760771751404,0.3037222921848297,iat
Bwd IAT Max,0.6245237588882446,0.4287794828414917,iat
Bwd IAT Min,0.6226482391357422,0.42749178409576416,iat
Active Mean,0.04068394750356674,0.027932390570640564,active_idle
Active Max,0.02944047562777996,0.02021295577287674,active_idle
Active Min,0.03380155563354492,0.02320714481174946,active_idle
Idle Mean,0.031088437885046005,0.021344399079680443,active_idle
Idle Max,0.020788516849279404,0.014272778294980526,active_idle
Idle Min,0.035330723971128464,0.024257026612758636,active_idle
