,precision,recall,f1-score,support
AUDIO,0.6406406406406406,0.8913649025069638,0.745486313337216,718.0
BROWSING,0.9314845024469821,0.6169638033495408,0.742281442963926,1851.0
CHAT,0.4923547400611621,0.9498525073746312,0.648539778449144,339.0
FILE-TRANSFER,0.9755877034358047,0.9269759450171822,0.9506607929515418,1164.0
MAIL,0.6468085106382979,0.8735632183908046,0.7432762836185819,348.0
P2P,0.95,0.9772879091516367,0.9634507737899243,1497.0
VIDEO,0.8331797235023042,0.8440709617180205,0.8385899814471243,1071.0
VOIP,0.9993493819128172,0.9703095388502843,0.9846153846153847,3166.0
accuracy,0.8790624384479023,0.8790624384479023,0.8790624384479023,0.8790624384479023
macro avg,0.8086756503297511,0.881298598294883,0.8271125938966054,10154.0
weighted avg,0.9050783067164102,0.8790624384479023,0.8816244243329884,10154.0
