feature_name,abs_corr,selected
std_active,0.32365102,True
std_idle,0.323042,True
min_active,0.2727799,True
mean_active,0.27215242,True
max_active,0.27037263,True
min_idle,0.26461336,True
mean_idle,0.26450732,True
max_idle,0.26438382,True
flowBytesPerSecond,0.18118706,True
flowPktsPerSecond,0.1682644,True
std_flowiat,0.15512764,True
mean_flowiat,0.14941004,True
max_flowiat,0.14660951,True
min_fiat,0.14559424,True
max_fiat,0.13889958,True
min_biat,0.13026154,True
total_biat,0.11903017,True
max_biat,0.11450511,True
min_flowiat,0.099036895,True
duration,0.088748395,True
mean_fiat,0.041115317,True
mean_biat,0.038880073,True
total_fiat,0.026883123,True
