feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
mean_flowiat,iat,0.9788112,0.98858917,0.00019111783,0.9676421
flowPktsPerSecond,packet_count,0.99999994,0.8676805,0.05376594,0.86768043
max_fiat,iat,0.86624223,0.979772,0.006198451,0.84871984
max_biat,iat,0.83798915,0.98304343,0.0015040612,0.8237797
max_flowiat,iat,0.81452477,0.9897267,0.00038248935,0.80615693
total_biat,iat,0.8109519,0.9866863,0.005507644,0.8001551
min_fiat,iat,0.72828317,0.9700943,0.028020935,0.7065034
flowBytesPerSecond,byte_count,0.7959882,0.8448943,0.061349537,0.6725259
std_flowiat,iat,0.58880836,0.9932365,0.0007555839,0.58482593
total_fiat,iat,0.57584375,0.992513,0.0032443455,0.5715324
min_biat,iat,0.5904376,0.9530123,0.012877748,0.56269425
min_flowiat,iat,0.63641244,0.86866504,0.3167199,0.55282927
duration,duration,0.63505375,0.7989464,0.008787836,0.50737387
mean_fiat,iat,0.4914819,0.9741969,0.0008252196,0.47880015
mean_biat,iat,0.46670973,0.9860063,0.0005350917,0.46017873
mean_active,active_idle,0.23134355,0.52419406,0.020425526,0.12126891
max_active,active_idle,0.2498558,0.35649705,0.007638658,0.08907285
max_idle,active_idle,0.26228642,0.32040504,0.01917123,0.08403789
min_idle,active_idle,0.23372696,0.33257344,0.056929983,0.07773138
min_active,active_idle,0.21507609,0.33872464,0.06647851,0.07285157
mean_idle,active_idle,0.1279755,0.18120985,0.0041953675,0.02319042
std_active,active_idle,0.030422682,0.5850214,0.21167773,0.017797919
std_idle,active_idle,0.013630111,0.17886327,0.091233745,0.0024379261
