,precision,recall,f1-score,support
VPN-BROWSING,0.8391534391534392,0.9062857142857143,0.8714285714285714,1750.0
VPN-CHAT,0.6382716049382716,0.616945107398568,0.6274271844660194,838.0
VPN-FT,0.8134556574923547,0.5902366863905325,0.6840977282468924,1352.0
VPN-MAIL,0.647887323943662,0.9387755102040817,0.7666666666666667,343.0
VPN-P2P,0.688293370944993,0.7507692307692307,0.7181751287711553,650.0
VPN-STREAMING,0.7524752475247525,0.9129129129129129,0.824966078697422,333.0
VPN-VOIP,0.9974424552429667,0.9817495280050346,0.9895337773549001,1589.0
accuracy,0.8132749817651349,0.8132749817651349,0.8132749817651349,0.8132749817651349
macro avg,0.7681398713200628,0.8139535271380106,0.7831850193759468,6855.0
weighted avg,0.818133994809656,0.8132749817651349,0.8099996332550573,6855.0
