feature_name,abs_corr,selected
std_active,0.65762466,True
std_idle,0.6564322,True
mean_idle,0.43901566,True
max_idle,0.43856773,True
min_idle,0.43638444,True
max_active,0.43587944,True
mean_active,0.43533522,True
min_active,0.43049031,True
duration,0.30095443,True
total_biat,0.25633988,True
mean_biat,0.2526846,True
mean_fiat,0.25130644,True
total_fiat,0.21841398,True
max_flowiat,0.18887883,True
max_biat,0.1739964,True
std_flowiat,0.16823603,True
min_biat,0.16219996,True
min_flowiat,0.1547975,True
min_fiat,0.15096898,True
max_fiat,0.1399744,True
flowPktsPerSecond,0.12768152,True
mean_flowiat,0.10204928,True
flowBytesPerSecond,0.094265044,True
