feature_name,group_name,mi_score,mean_gate_score,std_gate_score,combined_importance
max_biat,iat,0.98222494,0.8777022,0.019014698,0.86210096
max_flowiat,iat,0.98223364,0.8605566,0.008054677,0.84526765
mean_flowiat,iat,0.99827224,0.8422219,0.0005960824,0.8407668
max_fiat,iat,0.9995552,0.836476,0.027823186,0.8361039
std_flowiat,iat,0.9077649,0.88240933,0.0143957725,0.8010202
min_fiat,iat,0.9315644,0.83337593,0.021024954,0.77634335
min_biat,iat,0.85261524,0.8986477,0.021546947,0.7662007
flowPktsPerSecond,packet_count,1.0,0.74675363,0.030638676,0.74675363
duration,duration,0.87177914,0.8485964,0.02696098,0.73978865
total_fiat,iat,0.6755219,0.936312,0.028611667,0.6324993
total_biat,iat,0.73860615,0.8302453,0.058852978,0.6132243
mean_biat,iat,0.74120754,0.78729355,0.013770606,0.5835479
mean_fiat,iat,0.7708459,0.7489859,0.00029250426,0.5773527
min_flowiat,iat,0.6889805,0.75220627,0.3345421,0.5182555
flowBytesPerSecond,byte_count,0.98026437,0.45660746,0.06445658,0.447596
min_active,active_idle,0.36666352,0.7995185,0.015303112,0.29315427
min_idle,active_idle,0.3385002,0.80701524,0.007502833,0.27317482
mean_active,active_idle,0.35220778,0.77457637,0.0017583276,0.27281183
max_active,active_idle,0.36913,0.69562334,0.003643118,0.25677544
mean_idle,active_idle,0.32748464,0.7496662,0.0034226088,0.24550417
max_idle,active_idle,0.3558576,0.6268832,0.0033478604,0.22308116
std_active,active_idle,0.15127379,0.81721956,0.09272634,0.1236239
std_idle,active_idle,0.14915644,0.6453902,0.32741565,0.0962641
