,precision,recall,f1-score,support
BROWSING,0.5451549110085695,0.4725714285714286,0.5062748699112335,1750.0
CHAT,0.45295404814004375,0.6645264847512039,0.538711776187378,623.0
FT,0.791907514450867,0.577247191011236,0.6677497969130788,712.0
MAIL,0.32075471698113206,0.8742857142857143,0.46932515337423314,175.0
P2P,0.8531289910600255,0.9542857142857143,0.9008766014834795,700.0
STREAMING,0.544973544973545,0.6094674556213018,0.5754189944134078,338.0
VOIP,0.7368621477532369,0.9782608695652174,0.8405734144222415,1978.0
VPN-BROWSING,0.5942028985507246,0.5622857142857143,0.5778038755137992,1750.0
VPN-CHAT,0.5853658536585366,0.45878136200716846,0.5144005358338914,837.0
VPN-FT,0.6846615252784919,0.5909763313609467,0.6343787217149662,1352.0
VPN-MAIL,0.5958083832335329,0.5801749271137027,0.5878877400295421,343.0
VPN-P2P,0.5539568345323741,0.7107692307692308,0.6226415094339622,650.0
VPN-STREAMING,0.731457800511509,0.8588588588588588,0.7900552486187845,333.0
VPN-VOIP,0.9943052391799544,0.5494021397105098,0.7077421970004053,1589.0
accuracy,0.6550647372429551,0.6550647372429551,0.6550647372429551,0.6550647372429551
macro avg,0.6418210292366103,0.674420958728425,0.6381314596321717,13130.0
weighted avg,0.6807704293138498,0.6550647372429551,0.651970370008836,13130.0
